GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
Snake River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,15459,0.78,0.66,0.9,0.89,0.77,1.02
Snake River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15459,0.7,0.59,0.81,0.81,0.69,0.92
Clearwater River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Bonneville Dam,527,0.19,0,0.57,0.19,0,0.57
Clearwater River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,527,0.19,0,0.57,0.19,0,0.57
Grande Ronde River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2084,0.91,0.58,1.27,1.01,0.67,1.37
Grande Ronde River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2084,0.82,0.52,1.15,0.91,0.6,1.25
Imnaha River Wild Summer Chinook,2021,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2175,0.41,0.21,0.65,0.41,0.21,0.65
Imnaha River Wild Summer Chinook,2021,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,2175,0.46,0.23,0.71,0.46,0.23,0.71
Middle Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3418,1.02,0.74,1.32,1.35,1.01,1.7
Middle Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3418,0.88,0.61,1.16,1.2,0.89,1.53
South Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1932,0.72,0.44,1.08,0.72,0.44,1.08
South Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1932,0.72,0.44,1.08,0.72,0.44,1.08
Upper Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,4469,0.92,0.7,1.15,0.98,0.75,1.23
Upper Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,4469,0.76,0.55,0.97,0.83,0.6,1.06
Snake River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15660,1.37,1.21,1.53,1.54,1.37,1.7
Snake River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,15660,1.77,1.58,1.95,1.97,1.78,2.17
Snake River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3746,,,,1.49,1.17,1.82
Snake River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3746,,,,1.68,1.33,2.02
Snake River Wild Steelhead B-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1691,,,,1.66,1.14,2.2
Snake River Wild Steelhead B-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1691,,,,2.13,1.56,2.75
Snake River Wild Steelhead Aggregate,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5519,,,,1.81,1.52,2.12
Snake River Wild Steelhead Aggregate,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5519,,,,1.52,1.26,1.81
Asotin River Wild Steelhead,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,103,,,,0,0,2.86
Asotin River Wild Steelhead,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,103,,,,0,0,2.86
Clearwater River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1375,,,,1.96,1.34,2.61
Clearwater River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1375,,,,1.45,0.93,2.02
Clearwater River Wild Spring Chinook,2020,CH,W,Spr,Lower Granite Dam to Bonneville Dam,790,1.39,0.71,2.09,1.39,0.71,2.09
Clearwater River Wild Spring Chinook,2020,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,790,0.89,0.36,1.48,0.89,0.36,1.48
Grande Ronde River Wild Spring Chinook,2020,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2128,1.97,1.49,2.5,2.16,1.64,2.72
Grande Ronde River Wild Spring Chinook,2020,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2128,1.36,0.97,1.81,1.55,1.11,2.01
Grande Ronde River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,667,,,,0.75,0.27,1.36
Grande Ronde River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,667,,,,0.45,0,0.9
Imnaha River Wild Summer Chinook,2020,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2208,2.4,1.85,2.98,2.72,2.15,3.33
Imnaha River Wild Summer Chinook,2020,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,2208,1.99,1.52,2.52,2.26,1.75,2.81
Imnaha River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2004,,,,2.05,1.51,2.6
Imnaha River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2004,,,,1.85,1.34,2.35
Middle Fork Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2777,1.48,1.11,1.87,1.91,1.48,2.38
Middle Fork Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2777,1.15,0.84,1.51,1.44,1.09,1.86
Salmon River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1179,,,,2.29,1.52,3.1
Salmon River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1179,,,,2.04,1.34,2.82
South Fork Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1590,2.39,1.73,3.07,2.58,1.89,3.3
South Fork Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1590,1.82,1.28,2.42,2.01,1.44,2.64
Tucannon River Wild Summer Steelhead,2020,ST,W,Sum,Lower Monumental Dam to Bonneville Dam,2015,,,,0.74,0.46,1.96
Tucannon River Wild Summer Steelhead,2020,ST,W,Sum,Lower Monumental Dam to Lower Monumental Dam,2015,,,,0.45,0.25,1.13
Tucannon River Wild Spring Chinook,2020,CH,W,Spr,Lower Monumental Dam to Bonneville Dam,382,0.26,0,0.63,0.26,0,0.63
Tucannon River Wild Spring Chinook,2020,CH,W,Spr,Lower Monumental Dam to Lower Monumental Dam,382,0.26,0,0.63,0.26,0,0.63
Upper Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,4491,1.65,1.31,2.01,1.71,1.37,2.07
Upper Salmon River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,4491,1.4,1.11,1.72,1.47,1.17,1.78
Snake River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,11219,0.88,0.74,1.02,0.97,0.82,1.12
Snake River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,11219,0.79,0.67,0.93,0.86,0.73,1.01
Snake River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5431,,,,0.26,0.15,0.37
Snake River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5431,,,,0.33,0.2,0.47
Snake River Wild Steelhead B-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1816,,,,0.77,0.44,1.13
Snake River Wild Steelhead B-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1816,,,,1.05,0.64,1.44
Snake River Wild Steelhead Aggregate,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,7259,,,,0.39,0.27,0.51
Snake River Wild Steelhead Aggregate,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,7259,,,,0.51,0.37,0.65
Asotin River Wild Steelhead,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1813,,,,0.17,0.05,0.33
Asotin River Wild Steelhead,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1813,,,,0.17,0.05,0.34
Clearwater River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1970,,,,0.51,0.26,0.77
Clearwater River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1970,,,,0.46,0.21,0.72
Clearwater River Wild Spring Chinook,2019,CH,W,Spr,Lower Granite Dam to Bonneville Dam,647,0.31,0,0.72,0.31,0,0.72
Clearwater River Wild Spring Chinook,2019,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,647,0.62,0.15,1.17,0.62,0.15,1.17
Grande Ronde River Wild Spring Chinook,2019,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1964,1.22,0.82,1.63,1.27,0.86,1.7
Grande Ronde River Wild Spring Chinook,2019,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1964,1.02,0.64,1.39,1.02,0.64,1.39
Grande Ronde River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,650,,,,0.15,0,0.47
Grande Ronde River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,650,,,,0,0,0.46
Imnaha River Wild Summer Chinook,2019,CH,W,Sum,Lower Granite Dam to Bonneville Dam,1047,0.67,0.29,1.11,0.86,0.45,1.32
Imnaha River Wild Summer Chinook,2019,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,1047,0.67,0.29,1.11,0.86,0.45,1.32
Imnaha River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1533,,,,0.52,0.26,0.84
Imnaha River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1533,,,,0.39,0.14,0.67
Middle Fork Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2068,0.92,0.59,1.28,1.11,0.76,1.5
Middle Fork Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2068,0.77,0.49,1.09,0.92,0.61,1.27
Salmon River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1201,,,,1.25,0.73,1.81
Salmon River Wild Steelhead A-Run,2019,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1201,,,,0.75,0.35,1.21
South Fork Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1344,0.67,0.3,1.03,0.67,0.3,1.03
South Fork Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1344,0.82,0.44,1.22,0.82,0.44,1.22
Tucannon River Wild Summer Steelhead,2019,ST,W,Sum,Lower Monumental Dam to Lower Monumental Dam,861,,,,0,0,0.35
Tucannon River Wild Summer Steelhead,2019,ST,W,Sum,Lower Monumental Dam to Bonneville Dam,861,,,,0.12,0,0.34
Tucannon River Wild Spring Chinook,2019,CH,W,Spr,Lower Monumental Dam to Bonneville Dam,585,0.86,0.29,1.52,0.86,0.29,1.52
Tucannon River Wild Spring Chinook,2019,CH,W,Spr,Lower Monumental Dam to Lower Monumental Dam,585,0.68,0.17,1.24,0.68,0.17,1.24
Upper Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3156,0.98,0.69,1.29,1.05,0.75,1.36
Upper Salmon River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3156,1.08,0.78,1.39,1.14,0.83,1.47
Snake River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18977,0.44,0.37,0.52,0.5,0.42,0.58
Snake River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,18977,0.54,0.46,0.63,0.61,0.51,0.7
Snake River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,8078,,,,1.56,1.34,1.79
Snake River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,8078,,,,2.13,1.87,2.4
Snake River Wild Steelhead B-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1707,,,,0.82,0.48,1.2
Snake River Wild Steelhead B-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1707,,,,0.94,0.57,1.32
Snake River Wild Steelhead Aggregate,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,10152,,,,1.86,1.63,2.08
Snake River Wild Steelhead Aggregate,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,10152,,,,1.39,1.19,1.58
Asotin River Wild Steelhead,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1706,,,,1.29,0.85,1.78
Asotin River Wild Steelhead,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1706,,,,0.88,0.54,1.28
Clearwater River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2920,,,,2.67,2.17,3.14
Clearwater River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2920,,,,2.12,1.7,2.55
Clearwater River Wild Spring Chinook,2018,CH,W,Spr,Lower Granite Dam to Bonneville Dam,698,1,0.42,1.62,1.15,0.55,1.83
Clearwater River Wild Spring Chinook,2018,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,698,0.86,0.29,1.43,1,0.43,1.65
Grande Ronde River Wild Spring Chinook,2018,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3024,0.76,0.51,1.03,0.83,0.57,1.12
Grande Ronde River Wild Spring Chinook,2018,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3024,0.6,0.39,0.83,0.66,0.44,0.92
Grande Ronde River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,945,,,,1.8,1.12,2.53
Grande Ronde River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,945,,,,1.16,0.62,1.78
Imnaha River Wild Summer Chinook,2018,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2043,0.44,0.24,0.73,0.49,0.28,0.78
Imnaha River Wild Summer Chinook,2018,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,2043,0.39,0.19,0.64,0.44,0.24,0.71
Imnaha River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2328,,,,1.85,1.44,2.31
Imnaha River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2328,,,,1.16,0.8,1.53
Middle Fork Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2466,0.28,0.12,0.45,0.32,0.16,0.5
Middle Fork Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2466,0.16,0.04,0.29,0.2,0.08,0.36
Salmon River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1606,,,,1.56,1.07,2.09
Salmon River Wild Steelhead A-Run,2018,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1606,,,,1.74,1.19,2.3
South Fork Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1179,0.68,0.33,1.09,0.68,0.33,1.09
South Fork Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1179,0.68,0.33,1.09,0.68,0.33,1.09
Tucannon River Wild Summer Steelhead,2018,ST,W,Sum,Lower Monumental Dam to Lower Monumental Dam,1003,,,,0.8,0.37,1.37
Tucannon River Wild Summer Steelhead,2018,ST,W,Sum,Lower Monumental Dam to Bonneville Dam,1003,,,,1.5,0.93,2.34
Tucannon River Wild Spring Chinook,2018,CH,W,Spr,Lower Monumental Dam to Lower Monumental Dam,175,0,0,1.7,0,0,1.7
Tucannon River Wild Spring Chinook,2018,CH,W,Spr,Lower Monumental Dam to Bonneville Dam,175,0,0,1.7,0,0,1.7
Upper Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,5486,0.66,0.49,0.85,0.78,0.6,0.99
Upper Salmon River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,5486,0.55,0.39,0.73,0.64,0.47,0.83
Snake River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18201,0.13,0.09,0.17,0.14,0.1,0.19
Snake River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,18201,0.19,0.14,0.24,0.21,0.16,0.26
Snake River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5589,,,,0.88,0.67,1.1
Snake River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5589,,,,1.22,0.98,1.47
Snake River Wild Steelhead B-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1206,,,,0.17,0,0.4
Snake River Wild Steelhead B-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1206,,,,0.17,0,0.4
Snake River Wild Steelhead Aggregate,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,6938,,,,1.01,0.82,1.22
Snake River Wild Steelhead Aggregate,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,6938,,,,0.74,0.57,0.92
Asotin River Wild Steelhead,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1636,,,,0.92,0.55,1.34
Asotin River Wild Steelhead,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1636,,,,0.55,0.29,0.9
Clearwater River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2113,,,,0.71,0.43,1.01
Clearwater River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2113,,,,0.52,0.28,0.8
Clearwater River Wild Spring Chinook,2017,CH,W,Spr,Lower Granite Dam to Bonneville Dam,906,0.22,0,0.53,0.22,0,0.53
Clearwater River Wild Spring Chinook,2017,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,906,0.22,0,0.53,0.22,0,0.53
Grande Ronde River Wild Spring Chinook,2017,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3235,0.28,0.13,0.44,0.34,0.18,0.52
Grande Ronde River Wild Spring Chinook,2017,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3235,0.15,0.06,0.28,0.19,0.06,0.32
Grande Ronde River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1215,,,,1.32,0.75,1.9
Grande Ronde River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1215,,,,0.91,0.46,1.37
Imnaha River Wild Summer Chinook,2017,CH,W,Sum,Lower Granite Dam to Bonneville Dam,1354,0.15,0,0.36,0.22,0.07,0.46
Imnaha River Wild Summer Chinook,2017,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,1354,0.07,0,0.22,0.15,0,0.36
Imnaha River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,979,,,,1.74,1.06,2.46
Imnaha River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,979,,,,1.33,0.71,1.97
Middle Fork Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2276,0.09,0,0.18,0.13,0.04,0.26
Middle Fork Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2276,0.13,0,0.27,0.18,0.04,0.32
Salmon River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Bonneville Dam,933,,,,0.75,0.32,1.25
Salmon River Wild Steelhead A-Run,2017,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,933,,,,0.75,0.32,1.25
South Fork Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1430,0,0,0.21,0,0,0.21
South Fork Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1430,0.14,0,0.33,0.14,0,0.33
Tucannon River Wild Summer Steelhead,2017,ST,W,Sum,Lower Monumental Dam to Lower Monumental Dam,892,,,,0.56,0.21,1
Tucannon River Wild Summer Steelhead,2017,ST,W,Sum,Lower Monumental Dam to Bonneville Dam,892,,,,0.78,0.33,1.25
Tucannon River Wild Spring Chinook,2017,CH,W,Spr,Lower Monumental Dam to Bonneville Dam,355,0.28,0,0.82,0.28,0,0.82
Tucannon River Wild Spring Chinook,2017,CH,W,Spr,Lower Monumental Dam to Lower Monumental Dam,355,0.28,0,0.82,0.28,0,0.82
Upper Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,4765,0.21,0.1,0.33,0.21,0.1,0.33
Upper Salmon River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,4765,0.25,0.15,0.38,0.25,0.15,0.38
Snake River Wild Spring_Summer Chinook,2016,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,16647,0.34,0.26,0.41,0.38,0.3,0.47
Snake River Wild Spring_Summer Chinook,2016,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,16647,0.44,0.36,0.52,0.49,0.4,0.57
Snake River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5528,,,,0.83,0.64,1.05
Snake River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5528,,,,1.09,0.85,1.35
Snake River Wild Steelhead B-Run,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1936,,,,0.67,0.37,0.99
Snake River Wild Steelhead B-Run,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1936,,,,0.83,0.5,1.19
Snake River Wild Steelhead Aggregate,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,7806,,,,1,0.8,1.18
Snake River Wild Steelhead Aggregate,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,7806,,,,0.78,0.62,0.93
Asotin River Wild Steelhead,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1025,,,,0.78,0.31,1.23
Asotin River Wild Steelhead,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1025,,,,0.39,0.1,0.72
Clearwater River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1820,,,,0.93,0.59,1.33
Clearwater River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1820,,,,0.77,0.44,1.13
Clearwater River Wild Spring Chinook,2016,CH,W,Spr,Lower Granite Dam to Bonneville Dam,774,0.13,0,0.39,0.13,0,0.39
Clearwater River Wild Spring Chinook,2016,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,774,0.13,0,0.39,0.13,0,0.39
Grande Ronde River Wild Spring Chinook,2016,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2595,0.69,0.43,0.94,0.69,0.43,0.94
Grande Ronde River Wild Spring Chinook,2016,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2595,0.62,0.38,0.86,0.62,0.38,0.86
Grande Ronde River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Bonneville Dam,999,,,,1.2,0.69,1.77
Grande Ronde River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,999,,,,1,0.52,1.56
Imnaha River Wild Summer Chinook,2016,CH,W,Sum,Lower Granite Dam to Bonneville Dam,1459,0.55,0.26,0.9,0.55,0.26,0.9
Imnaha River Wild Summer Chinook,2016,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,1459,0.34,0.13,0.61,0.34,0.13,0.61
Imnaha River Wild Steelhead A-Run,2016,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1946,,,,1.08,0.72,1.45
